Vocab1,link,Vocab2
sgd,var,goa
sgd,var,eco
sgd,var,go
sgd,var,ncbigene
sgd,var,apo
goa,var,eco
goa,var,go
goa,var,sgd
homologene,var,ncbigene
homologene,var,taxonomy
kegg,var,taxonomy
kegg,var,drugbank
kegg,var,mesh
kegg,var,omim
kegg,var,go
kegg,var,hgnc
kegg,var,ncbigene
pharmgkb,var,ctd
pharmgkb,var,go
pharmgkb,var,ncbigene
pharmgkb,var,omim
pharmgkb,var,hgnc
pharmgkb,var,clinicaltrials
pharmgkb,var,drugbank
pharmgkb,var,kegg
pharmgkb,var,ndc
pharmgkb,var,mesh
hgnc,var,mgi
hgnc,var,ncbigene
hgnc,var,omim
omim,var,ncbigene
omim,var,mgi
omim,var,wormbase
omim,var,hp
ncbigene,var,kegg
ncbigene,var,ctd
ncbigene,var,pharmgkb
omim,var,ctd
omim,var,kegg
ctd,var,omim
ctd,var,mesh
ctd,var,ncbigene
ctd,var,taxonomy
ctd,var,kegg
kegg,var,ctd
ctd,var,pharmgkb
ctd,var,go
mesh,var,go
mesh,var,ctd
mesh,var,kegg
go,var,kegg
go,var,interpro
hp,var,mesh
drugbank,var,kegg
drugbank,var,ndc
drugbank,var,pharmgkb
drugbank,var,taxonomy
drugbank,var,hgnc
mgi,var,omim
goa,var,taxonomy
wormbase,var,taxonomy
wormbase,var,go
wormbase,var,eco
lsr,var,bioportal
sgd,var,affymetrix
affymetrix,var,sgd
affymetrix,var,go
affymetrix,var,ncbigene
affymetrix,var,interpro
affymetrix,var,wormbase
affymetrix,var,mgi
affymetrix,var,omim
go,var,affymetrix
interpro,var,affymetrix
ncbigene,var,affymetrix
wormbase,var,affymetrix
mgi,var,affymetrix
omim,var,affymetrix
ncbigene,var,taxonomy
ncbigene,var,go
ncbigene,var,eco
sgd,var,taxonomy
irefindex,var,taxonomy
irefindex,var,ncbigene
irefindex,var,sgd
